/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
23482656	Chen	23482656	GRASP 2.0		56		Cervical cancer	Cancer;Cervical cancer;Reproductive;Gender;Female	3/12/13	y	J Natl Cancer Inst	Genome-wide association study of susceptibility loci for cervical cancer.		y	y	"1,034 European ancestry cases, 3,948 European ancestry controls"	"1,140 European ancestry cases, 1,058 European ancestry controls"	"Illumina [632,668]"	European	7180	4982	4982												2198	2198																					
23486544	Ulivi	23486544	GRASP 2.0		17		Eye color	Eye-related	3/13/13	n	Eur J Hum Genet	Genetics of eye colours in different rural populations on the Silk Road.		n	n	710 individuals	NR	"Illumina & imputed [2,157,485]"	Mixed	710	710									710																										
23487342	Suh	23487342	GRASP 2.0		12		Fasting glucose	Quantitative trait(s);Type 2 diabetes (T2D);Blood-related	3/4/13	n	J Korean Med Sci	Combined genome-wide linkage and association analyses of fasting glucose level in healthy twins and families of Korea.		n	n	"1754 Korean individuals (432 families, 219 MZ pairs)"	NR	"Affymetrix [520,484]"	Asian	1754	1754			1754																																
23487405	Melton	23487405	GRASP 2.0		479		Carotid artery intimal-media thickness	Quantitative trait(s);CVD risk factor (CVD RF);Arterial;Subclinical CVD	3/13/13	n	Circ Cardiovasc Genet	Genetic architecture of carotid artery intima-media thickness in Mexican Americans.		n	n	772 in 29 extended Mexican-American families	NR	"Illumina [931,219]"	Hispanic	772	772					772																														
23487758	Johnansson	23487758	GRASP 2.0		34	1	Protein expression in blood plasma	Quantitative trait(s);Gene expression (protein);Protein expression;Blood-related;Plasma	3/4/13	n	Proc Natl Acad Sci U S A	Identification of genetic variants influencing the human plasma proteome.		n	n	719 Swedish individuals	350 Swedish individuals	Illumina & imputed [7.83 million]	European	1069	719	719												350	350																					
23490283	Kim	23490283	GRASP 2.0		252		Preoperative chemoradiation therapy response in rectal cancer	Cancer;Colorectal cancer;Rectal cancer;Surgery;Drug response;Radiation;Adverse drug reaction (ADR)	3/13/13	n	Int J Radiat Oncol Biol Phys	Novel single-nucleotide polymorphism markers predictive of pathologic response to preoperative chemoradiation therapy in rectal cancer patients.		n	n	43 individuals with advanced rectal cancer	70 individuals with advanced rectal cancer	"Affymetrix [691,162]"	Asian	113	43			43										70			70																			
23493294	Gao	23493294	GRASP 2.0		8		Central corneal thickness	Eye-related;Quantitative trait(s)	4/1/13	y	Invest Ophthalmol Vis Sci	A genome-wide association study of central corneal thickness in Latinos.		n	n	"1,644 Latino individuals"	124 Latino individuals	"Illumina [6,290,547] imputed"	Hispanic	1768	1644					1644								124					124																	
23496005	Luca	23496005	GRASP 2.0		13		Narcolepsy with cataplexy	Neuro;Sleep	3/18/13	y	J Sleep Res	"Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study."		n	n	585 European ancestry cases	387 European ancestry cases	"Affymetrix [392,949]"	European	972	585	585												387	387																					
23502781	Germain	23502781	GRASP 2.0		383		Pulmonary arterial hypertension	Pulmonary;Quantitative trait(s);Blood pressure;CVD risk factor (CVD RF);Arterial	3/17/13	y	Nat Genet	Genome-wide association analysis identifies a susceptibility locus for pulmonary arterial hypertension.		n	n	"340 European ancestry cases, 1,068 European ancestry controls"	"285 cases, 457 controls"	"Illumina [462,499] "	European	2150	1408	1408												742										742												
23502783	Weinhold	23502783	GRASP 2.0		510		t(11;14)(q13;q32) translocation in multiple myeloma	Cancer;Blood-related;Bone-related;Bone cancer;Anemia	3/17/13	y	Nat Genet	The CCND1 c.870G&gt;A polymorphism is a risk factor for t(11;14)(q13;q32) multiple myeloma.		n	n	"Up to 1,660 European ancestry cases, 7,306 European ancestry controls"	NR	"Illumina [414,804] (imputed)"	European	8966	8966	8966																																		
23505291	Shah	23505291	GRASP 2.0		103		IL-6 levels	Inflammation;Quantitative trait(s);C-reactive protein (CRP);Blood-related	3/16/13	n	Circ Cardiovasc Genet	Gene-centric analysis identifies variants associated with interleukin-6 levels and shared pathways with other inflammation markers.		n	n	8356 British individuals	NR	"Illumina [36,087]"	European	8356	8356	8356																																		
23505323	Weissglas-Volkov	23505323	GRASP 2.0		1297		Lipid level measurements	CVD risk factor (CVD RF);Lipids	3/15/13	y	J Med Genet	Genomic study in Mexicans identifies a new locus for triglycerides and refines European lipid loci.		n	n	"1,122 Mexican ancestry hypertriglyceridemia cases, 1,118 Mexican ancestry controls"	"1,067 Mexican ancestry hypertriglyceridemia cases, 1,054 Mexican ancestry controls"	"Illumina [1,361,436] (imputed)"	Hispanic	4361	2240					2240								2121					2121																	
23508266	Duan	23508266	GRASP 2.0		17		Asthma (acute bronchodilator response)	Drug response;Asthma;Inflammation;Pulmonary;Chronic lung disease;Adverse drug reaction (ADR)	3/19/13	y	Pharmacogenomics J	A genome-wide association study of bronchodilator response in asthmatics.		n	n	Up to 403 European ancestry asthmatic children and their parents	"764 European ancestry cases, 592 Costa Rican ancestry cases"	"Illumina [534,290]"	Mixed	1759	403	403												1356	764				592																	
23508821	Weng	23508821	GRASP 2.0		26		Tamoxifen sensitivity and gene expression in blood cell lines	Cancer-related;Drug response;Gene expression (RNA);Quantitative trait(s);Blood-related;Cell line	3/18/13	n	Ann Oncol	Genome-wide discovery of genetic variants affecting tamoxifen sensitivity and their clinical and functional validation.		n	n	60 CEU lymphoclastoid cell lines	245 EA breast cancer cases	"HapMap [387,417]"	European	305	60	60												245	245																					
23508960	Zhou	23508960	GRASP 2.0		1		"Aspirin hydrolytic activity, in plasma"	Drug response;Platelet;Quantitative trait(s);Blood-related;Plasma	3/18/13	y	J Biol Chem	Aspirin hydrolysis in plasma is a variable function of butyrylcholinesterase and platelet-activating factor acetylhydrolase 1b2 (PAFAH1b2).		n	n	"2,054 European ancestry individuals"	NR	"Affymetrix [2,421,779] (imputed)"	European	2054	2054	2054																																		
23509613	Kamboh	23509613	GRASP 2.0		201		Antiphospholipid antibodies	Immune-related;Inflammation;Systemic lupus erythematosus (SLE)	2/24/13	y	Autoimmune Dis	Genome-wide association study of antiphospholipid antibodies.		n	n	"183 European ancestry ACL-positive cases, 487 European ancestry ACL-negative controls, 127 European ancestry LAC-positive cases, 581 European ancestry LAC-negative controls, 136 European ancestry Anti-B2GPI-positive cases, 360 European ancestry Anti-B2GPI-negative controls"	NR	"Affymetrix [906,600]"	European	1874	1874	1874																																		
23511034	Yang	23511034	GRASP 2.0		30		Ulcerative colitis	Gastrointestinal;Inflammation;Ulcerative colitis	4/13/13	y	Inflamm Bowel Dis	Genome-wide association study of ulcerative colitis in Koreans suggests extensive overlapping of genetic susceptibility with Caucasians.		n	n	"388 Korean ancestry cases, 739 Korean ancestry controls"	"810 Korean ancestry cases, 1709 Korean ancestry controls"	"Illumina [581,060] "	Asian	3646	1127			1127										2519			2519																			
23512250	Xu	23512250	GRASP 2.0		85		Leukemia (childhood acute lymphoblastic leukemia)	Cancer;Blood-related;Developmental;Blood cancer;Leukemia	3/19/13	y	J Natl Cancer Inst	Novel susceptibility variants at 10p12.31-12.2 for childhood acute lymphoblastic leukemia in ethnically diverse populations.		n	n	"972 European ancestry cases, 1,386 European ancestry controls, 89 African American cases, 1,363 African American controls, 305 Hispanic cases, 1,008 Hispanic controls"	"574 European ancestry cases, 2,601 European ancestry controls, 128 African American cases, 1,075 African American controls, 143 Hispanic cases, 640 Hispanic controls"	"Affymetrix [709,059]"	Mixed	10284	5123	2358	1452			1313								5161	3175	1203			783																	
23517042	Mel_n	23517042	GRASP 2.0		40		Body mass index (BMI) and asthma	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index;Asthma;Pulmonary;Chronic lung disease;Inflammation	4/13/13	y	Clin Exp Allergy	Genome-wide association study of body mass index in 23 000 individuals with and without asthma.		n	n	"1,881 European ancestry children, 109 European and other ancestry children, 701 Other ancestry children"	"979 European ancestry children, 921 Hispanic children, 120 Other ancestry children "	"Illumina [536,451]"	Mixed	4711	2691	1881								810				2020	979				921					120												
23518928	Liu	23518928	GRASP 2.0		42		"Breast cancer (ER-positive) and post-menopausal estradiol concentrations, in plasma"	Quantitative trait(s);Blood-related;Plasma;Cancer;Breast cancer;Gender;Female;Menopause;Hormonal	3/21/13	y	Mol Endocrinol	TSPYL5 SNPs: association with plasma estradiol concentrations and aromatase expression.		y	y	"700 European ancestry cases, 50 African ancestry cases, 17 Asian ancestry cases, 5 American Indian cases"	NR	"Illumina [563,945]"	Mixed	772	772	700	50	17			5																													
23527081	Zhang	23527081	GRASP 2.0		13		Lung function in textile workers with endotoxin exposure	Quantitative trait(s);Pulmonary;Environment	3/19/13	n	PLoS One	A large scale gene-centric association study of lung function in newly-hired female cotton textile workers with endotoxin exposure.		y	y	301 Chinese females	NR	"Illumina [27,611]"	Asian	301	301			301																																
23527680	Ebejer	23527680	GRASP 2.0		214		"ADHD, inattention and hyperactivity-impulsivity tests"	Neuro;Behavioral;Attention-deficit/hyperactivity disorder (ADHD)	4/13/13	y	Twin Res Hum Genet	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.		n	n	"1,851 Australian individuals"	155 Australian individuals	"Illumina [2,373,249] (imputed)"	European	2006	1851	1851												155	155																					
23532257	Ma	23532257	GRASP 2.0		47		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	3/27/13	y	Diabetologia	Genome-wide association study in a Chinese population identifies a susceptibility locus for type 2 diabetes at 7q32 near PAX4.		n	n	"684 Han Chinese ancestry cases, 955 Han Chinese ancestry controls"	"18,954 East Asian ancestry cases, 18,029 East Asian ancestry controls, 794 Singaporean Malay ancestry cases, 1,204 Singaporean Malay ancestry controls, 977 Singaporean Indian ancestry cases, 1,169 Singaporean Indian ancestry controls, 8,130 European ancestry cases, 38,987 European ancestry controls"	"Illumina [2,925,090] (imputed)"	Mixed	89883	1639			1639										88244	47117		38981	2146																		
23533358	Liu	23533358	GRASP 2.0		12		Opiates addiction	Neuro;Addiction;Narcotics	2/28/13	y	ScientificWorldJournal	NCK2 is significantly associated with opiates addiction in African-origin men.		y	n	"1,393 European ancestry women, 1,131 European ancestry men, 568 African ancestry women, 535 African ancestry men"	NR	"Illumina [859,185]"	Mixed	3627	3627	2524	1103																																	
23534349	Jeff	23534349	GRASP 2.0		50		"ECG (Electrocardiogram measurements), QT interval, PR interval, QRS duration, Heart rate variability"	Quantitative trait(s);Heart;Heart rate	3/28/13	y	Ann Hum Genet	Generalization of variants identified by genome-wide association studies for electrocardiographic traits in african americans.		n	n	455 African American individuals	NR	"Illumina [>930,000]"	African	455	455		455																																	
23535033	Sherva	23535033	GRASP 2.0		69		Cognitive decline (rate in Alzheimer's disease)	Neuro;Alzheimer's disease;Cognition;Aging	3/24/13	y	Alzheimers Dement	Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.		n	n	303 European ancestry cases	NR	Illumina [~2.5 million] (imputed)	European	303	303	303																																		
23535729	Michaillidou	23535729	GRASP 2.0		212		Breast cancer	Cancer;Breast cancer;Gender;Female	4/13/13	y	Nat Genet	Large-scale genotyping identifies 41 new loci associated with breast cancer risk.		y	y	"10,052 European ancestry cases, 12,575 European ancestry controls"	"45,290 European ancestry cases, 41,880 European ancestry controls"	Illumina & Affymetrix [~2.6 million] (imputed)	European	109797	22627	22627												87170	87170																					
23535732	Eeles	23535732	GRASP 2.0		24		Prostate cancer	Cancer;Prostate cancer;Gender;Male;Reproductive	4/13/13	y	Nat Genet	Identification of 23 new prostate cancer susceptibility loci using the iCOGS custom genotyping array.		y	y	"11,085 European ancestry cases, 11,463 European ancestry controls"	"19,662 European ancestry cases, 19,715 European ancestry controls"	Illumina [~2.6 million] (imputed)	European	61925	22548	22548												39377	39377																					
23535733	Garcia-Closas	23535733	GRASP 2.0		60		"Breast cancer, ER negative"	Cancer;Breast cancer;Gender;Female	4/13/13	y	Nat Genet	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.		y	y	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	Illumina [~2.6 million] (imputed)	European	87356	39387	39387												47969	47969																					
23535734	Codd	23535734	GRASP 2.0		22		Telomere length (mean telomere length)	Quantitative trait(s);Aging	3/27/13	y	Nat Genet	Identification of seven loci affecting mean telomere length and their association with disease.		n	n	"37,684 European ancestry individuals"	"10,739 European ancestry individuals"	"Illumina & Affymetrix [2,362,330]"	European	48423	37684	37684												10739	10739																					
23535911	Kitamoto	23535911	GRASP 2.0		111		Nonalcoholic fatty liver disease	Hepatic	3/28/13	y	Hum Genet	"Genome-wide scan revealed that polymorphisms in the PNPLA3, SAMM50, and PARVB genes are associated with development and progression of nonalcoholic fatty liver disease in Japan."		n	n	"392 Japanese ancestry cases, 934 Japanese ancestry controls"	"172 Japanese ancestry cases, 1,012 Japanese ancestry controls"	"Illumina [261,540]"	Asian	2510	1326			1326										1184			1184																			
